ID,Nivel_Educacion,Sector_Trabajo,Ocupacion,Horas_Semanales,Ingreso_Mensual_MXN,Clase_Ingreso
1,Básica,Construcción,Administrador/a,35,11300.0,Baja
2,Media Superior,Manufactura,Lutier,31,16200.0,Media
3,Licenciatura,Comercio,Paleontólogo/a,52,17900.0,Media
4,Básica,Informal,Repartidor,28,8500.0,Baja
5,Básica,Comercio,Paleontólogo/a,20,9200.0,Baja
6,Licenciatura,Comercio,Técnico/a de sonido,43,21000.0,Media
7,Licenciatura,Manufactura,Escultor,39,14400.0,Baja
8,Licenciatura,Comercio,Economista,42,13400.0,Baja
9,Licenciatura,Construcción,Camarero,32,9300.0,Baja
10,Licenciatura,Servicios,Animador,23,8500.0,Baja
11,Posgrado,Manufactura,Actuario/a,24,18800.0,Media
12,Licenciatura,Comercio,Barbero,24,8500.0,Baja
13,Posgrado,Finanzas,Cerrajero,39,11600.0,Baja
14,Media Superior,Servicios,Ferretero,40,22100.0,Media
15,Básica,Manufactura,Barbero,26,8500.0,Baja
16,Media Superior,Informal,Contador/a,45,9400.0,Baja
17,Media Superior,Comercio,Médico/a cirujano/a,38,13000.0,Baja
18,Posgrado,Informal,Periodista,43,18100.0,Media
19,Media Superior,Servicios,Soldador,41,8500.0,Baja
20,Licenciatura,Gobierno,Carnicero,53,22700.0,Media
21,Básica,Manufactura,Zapatero,49,15700.0,Media
22,Media Superior,Informal,Historiador/a,22,12700.0,Baja
23,Básica,Comercio,Administrador/a,34,9400.0,Baja
24,Básica,Comercio,Economista,37,17000.0,Media
25,Posgrado,Comercio,Periodista,35,19500.0,Media
26,Licenciatura,Gobierno,Psicoanalista,39,22200.0,Media
27,Licenciatura,Manufactura,Leñador,54,15700.0,Media
28,Básica,Comercio,Pescador,49,9400.0,Baja
29,Licenciatura,Servicios,Kinesiólogo/a,53,23000.0,Media
30,Media Superior,Manufactura,Barrendero,38,8700.0,Baja
31,Licenciatura,Manufactura,Joyero,30,13900.0,Baja
32,Posgrado,Informal,Repartidor,44,22900.0,Media
33,Licenciatura,Gobierno,Artesano,38,8500.0,Baja
34,Media Superior,Finanzas,Lavandero,24,8500.0,Baja
35,Media Superior,Gobierno,Cerrajero,51,16700.0,Media
36,Licenciatura,Servicios,Jardinero,42,23100.0,Media
37,Media Superior,Manufactura,Abogado/a,36,16900.0,Media
38,Básica,Servicios,Albañil,43,9400.0,Baja
39,Media Superior,Informal,Repartidor,58,8500.0,Baja
40,Licenciatura,Servicios,Cocinero,58,31400.0,Media
41,Básica,Gobierno,Pintor,50,20700.0,Media
42,Media Superior,Construcción,Abogado/a,57,26900.0,Media
43,Básica,Manufactura,Vendedor,20,8500.0,Baja
44,Licenciatura,Finanzas,Técnico/a de sonido,23,8600.0,Baja
45,Licenciatura,Construcción,Frutero,50,16900.0,Media
46,Media Superior,Manufactura,Meteorólogo/a,47,13800.0,Baja
47,Licenciatura,Manufactura,Historiador/a,39,8500.0,Baja
48,Básica,Construcción,Repartidor,39,8500.0,Baja
49,Licenciatura,Servicios,Joyero,47,13300.0,Baja
50,Básica,Gobierno,Vendedor,34,9600.0,Baja
51,Media Superior,Servicios,Relojero,30,9000.0,Baja
52,Media Superior,Informal,Desarrollador/a web,55,16400.0,Media
53,Licenciatura,Informal,Artesano,52,12100.0,Baja
54,Posgrado,Gobierno,Fumigador,36,20400.0,Media
55,Licenciatura,Informal,Barrendero,39,20800.0,Media
56,Licenciatura,Gobierno,Imprentero,23,10900.0,Baja
57,Licenciatura,Construcción,Obrero,51,17600.0,Media
58,Media Superior,Finanzas,Matemático/a,53,25100.0,Media
59,Licenciatura,Gobierno,Obrero,21,8500.0,Baja
60,Licenciatura,Informal,Joyero,36,17900.0,Media
61,Media Superior,Construcción,Radiólogo/a,29,8500.0,Baja
62,Básica,Comercio,Fontanero o plomero,36,8500.0,Baja
63,Licenciatura,Construcción,Veterinario/a,32,8500.0,Baja
64,Básica,Finanzas,Maestro,54,26700.0,Media
65,Licenciatura,Manufactura,Biólogo/a,55,27300.0,Media
66,Media Superior,Informal,Herrero,54,8500.0,Baja
67,Licenciatura,Informal,Biólogo/a,35,12500.0,Baja
68,Media Superior,Servicios,Pastor,22,8500.0,Baja
69,Licenciatura,Servicios,Leñador,30,9100.0,Baja
70,Licenciatura,Manufactura,Escritor,32,19500.0,Media
71,Licenciatura,Comercio,Zapatero,22,8500.0,Baja
72,Media Superior,Servicios,Sastre,44,8500.0,Baja
73,Básica,Manufactura,Psicólogo/a,48,19600.0,Media
74,Media Superior,Servicios,Traductor/a,58,19000.0,Media
75,Media Superior,Informal,Imprentero,39,8500.0,Baja
76,Básica,Manufactura,Lechero,58,8500.0,Baja
77,Media Superior,Construcción,Peluquero,27,17900.0,Media
78,Licenciatura,Informal,Cocinero,27,8500.0,Baja
79,Media Superior,Gobierno,Contador/a,53,17900.0,Media
80,Media Superior,Servicios,Jardinero,29,8500.0,Baja
81,Licenciatura,Servicios,Físico/a,25,17600.0,Media
82,Media Superior,Informal,Soldador,43,9700.0,Baja
83,Básica,Manufactura,Pintor,29,8500.0,Baja
84,Media Superior,Manufactura,Fontanero o plomero,21,8500.0,Baja
85,Licenciatura,Comercio,Lutier,32,8500.0,Baja
86,Básica,Servicios,Artesano,47,10800.0,Baja
87,Básica,Construcción,Químico/a,45,15500.0,Media
88,Licenciatura,Comercio,Músico/a,38,13400.0,Baja
89,Básica,Construcción,Psicólogo/a,44,11200.0,Baja
90,Licenciatura,Finanzas,Maestro,49,24100.0,Media
91,Media Superior,Construcción,Historiador/a,37,8500.0,Baja
92,Media Superior,Gobierno,Técnico/a de sonido,26,8500.0,Baja
93,Licenciatura,Gobierno,Bombero,38,11500.0,Baja
94,Licenciatura,Servicios,Camarero,47,13200.0,Baja
95,Licenciatura,Gobierno,Obrero,47,22200.0,Media
96,Básica,Comercio,Diseñador/a gráfico,50,15500.0,Media
97,Licenciatura,Gobierno,Farmacólogo/a,46,22700.0,Media
98,Licenciatura,Gobierno,Cocinero,37,9800.0,Baja
99,Básica,Servicios,Cajero,20,8500.0,Baja
100,Licenciatura,Gobierno,Geógrafo/a,24,14900.0,Baja
101,Posgrado,Comercio,Farmacólogo/a,57,25000.0,Media
102,Básica,Servicios,Psicoanalista,56,15700.0,Media
103,Licenciatura,Comercio,Contador/a,34,13700.0,Baja
104,Media Superior,Gobierno,Obrero,28,13400.0,Baja
105,Licenciatura,Servicios,Médico/a cirujano/a,32,17900.0,Media
106,Licenciatura,Servicios,Relojero,38,15300.0,Media
107,Básica,Servicios,Panadero,43,8500.0,Baja
108,Licenciatura,Gobierno,Lechero,37,19700.0,Media
109,Licenciatura,Manufactura,Abogado/a,28,8500.0,Baja
110,Licenciatura,Gobierno,Joyero,40,20000.0,Media
111,Media Superior,Gobierno,Radiólogo/a,57,30800.0,Media
112,Media Superior,Manufactura,Ferretero,30,17900.0,Media
113,Media Superior,Gobierno,Lutier,52,18400.0,Media
114,Media Superior,Informal,Desarrollador/a web,20,10700.0,Baja
115,Posgrado,Informal,Animador,59,25700.0,Media
116,Licenciatura,Finanzas,Imprentero,23,8500.0,Baja
117,Licenciatura,Informal,Enfermero/a,52,22000.0,Media
118,Básica,Manufactura,Biólogo/a,59,18100.0,Media
119,Licenciatura,Comercio,Kinesiólogo/a,33,9400.0,Baja
120,Media Superior,Servicios,Lutier,39,12500.0,Baja
121,Licenciatura,Servicios,Afilador,34,15000.0,Media
122,Media Superior,Servicios,Tornero,20,9100.0,Baja
123,Media Superior,Comercio,Leñador,37,8500.0,Baja
124,Básica,Informal,Artesano,31,8500.0,Baja
125,Licenciatura,Manufactura,Frutero,39,18200.0,Media
126,Básica,Comercio,Traductor/a,25,10700.0,Baja
127,Licenciatura,Comercio,Relojero,50,10300.0,Baja
128,Media Superior,Servicios,Repartidor,30,8500.0,Baja
129,Posgrado,Construcción,Chofer transportista,47,8600.0,Baja
130,Licenciatura,Informal,Frutero,53,21900.0,Media
131,Básica,Comercio,Jardinero,32,8500.0,Baja
132,Licenciatura,Comercio,Periodista,25,8500.0,Baja
133,Licenciatura,Construcción,Fumigador,39,17000.0,Media
134,Media Superior,Servicios,Escritor,49,12600.0,Baja
135,Licenciatura,Finanzas,Cajero,51,21400.0,Media
136,Media Superior,Finanzas,Óptico,30,8700.0,Baja
137,Licenciatura,Manufactura,Ferretero,34,15500.0,Media
138,Media Superior,Manufactura,Tornero,46,14100.0,Baja
